date,time,per.fr.LL,den.oh.LL,per.fr.PS,den.oh.PS,per.fr.MO,den.oh.MO
2007.1,1,0.003854626,1.288657393,0,1.638404194,0,0
2007.11,2,0.002779837,0.998359361,0.006918705,2.658391119,0.007412898,0
2007.12,3,0.004091972,1.121298343,0.005975578,2.658391119,0.010132502,0
2008.01,4,0.002987891,1.711531061,0.002358861,3.132243313,0.004088693,0
2008.02,5,0.002337243,1.660527757,0.006119327,2.808060696,0.008499065,0
2008.03,6,0.002991313,1.141939857,0.005572857,4.765712766,0.007211932,0
2008.04,7,0.004509675,0.415573294,0.004263693,5.901399295,0.010823221,0
2008.05,8,0.006588256,1.137796924,0.007782101,6.486602188,0.007782101,0
2008.06,9,0.00494894,0.988694521,0.005341712,7.528845121,0.008012569,0
2008.08,10,0.006479767,0.176502255,0.010843692,3.514369751,0.007673268,0
2008.09,11,0.007198153,0.798919173,0.004346055,4.001758234,0.007333967,0
2008.1,12,0.007838284,1.992065332,0.006105611,4.001758234,0.007755776,0
2008.11,13,0.005959231,2.064252904,0.004438599,4.270344315,0.010356732,0
2008.12,14,0.005300789,1.590938389,0.004273504,2.024999868,0.008218277,0
2009.01,15,0.004602235,0.94762507,0.00591716,3.19959111,0.009040105,0
2009.02,16,0.003205128,1.145272399,0.004109139,3.996593674,0.005424063,2.121929719
2009.03,17,0.004178388,1.689839172,0.007777594,3.537715463,0.010094324,2.425062536
2009.04,18,0.003888797,1.260121095,0.006619229,3.89544469,0.005460864,2.425062536
2009.05,19,0.005214368,1.211576169,0.006124814,4.273033368,0.006455885,0.909398451
2009.06,20,0.006081417,0.948180594,0.004964422,4.421426819,0.005129902,0.606265634
2009.07,21,0.005502234,1.881531163,0.004302499,4.455228006,0.00910144,0.606265634
2009.08,22,0.005410355,2.125493731,0.005327118,3.739514975,0.007324788,0
2009.09,23,0.004272788,1.993424937,0.004356568,4.787545317,0.009550938,0
2009.1,24,0.004478949,1.590570107,0.004478949,5.902984482,0.007763511,0
2009.11,25,0.009758002,3.280937436,0.005269321,5.592499723,0.012490242,0
2009.12,26,0.012634631,4.345581299,0.004971002,3.613015101,0.008119304,0
2010.01,27,0.013230847,4.218091047,0.006216398,0.93145428,0.012600806,0
2010.02,28,0.010505967,2.16665412,0.00706001,0.783060828,0.012607161,0
2010.03,29,0.006224764,1.556922661,0.004710633,1.174591242,0.014300135,0
2010.04,30,0.004789111,0.965075617,0.00336078,2.740712899,0.009242144,0
2010.05,31,0.00246139,1.054905438,0.003088803,2.349182484,0.011389961,0.613713615
